Date,Gold_Price,dGold
2010-04-01,1232.92,119.58300000000008
2010-07-01,1270.977,38.057000000000016
2010-10-01,1390.553,119.57600000000002
2011-01-01,1423.26,32.70699999999988
2011-04-01,1529.36,106.09999999999991
2011-07-01,1772.14,242.7800000000002
2011-10-01,1639.97,-132.17000000000007
2012-01-01,1675.95,35.98000000000002
2012-04-01,1598.76,-77.19000000000005
2012-07-01,1744.81,146.04999999999995
2012-10-01,1684.762,-60.048
2013-01-01,1593.086,-91.67599999999993
2013-04-01,1343.35,-249.7360000000001
2013-07-01,1348.6,5.25
2013-10-01,1221.512,-127.08799999999997
2014-01-01,1336.08,114.56799999999998
2014-04-01,1279.1,-56.98000000000002
2014-07-01,1236.55,-42.549999999999955
2014-10-01,1200.62,-35.930000000000064
2015-01-01,1178.63,-21.98999999999978
2015-04-01,1181.5,2.869999999999891
2015-07-01,1124.77,-56.73000000000002
2015-10-01,1075.74,-49.02999999999997
2016-01-01,1245.14,169.4000000000001
2016-04-01,1276.4,31.25999999999999
2016-07-01,1326.61,50.20999999999981
2016-10-01,1157.36,-169.25
2017-01-01,1231.42,74.06000000000017
2017-04-01,1260.26,28.839999999999918
2017-07-01,1314.07,53.809999999999945
2017-10-01,1264.45,-49.61999999999989
2018-01-01,1324.66,60.210000000000036
2018-04-01,1281.57,-43.090000000000146
2018-07-01,1198.39,-83.17999999999984
2018-10-01,1250.4,52.00999999999999
2019-01-01,1300.9,50.5
2019-04-01,1359.04,58.13999999999987
2019-07-01,1510.58,151.53999999999996
2019-10-01,1479.13,-31.449999999999818
2020-01-01,1591.93,112.79999999999995
2020-04-01,1732.22,140.28999999999996
2020-07-01,1921.92,189.70000000000005
2020-10-01,1858.42,-63.5
2021-01-01,1718.23,-140.19000000000005
2021-04-01,1834.57,116.33999999999992
2021-07-01,1775.14,-59.429999999999836
2021-10-01,1790.43,15.289999999999964
2022-01-01,1947.83,157.39999999999986
2022-04-01,1836.57,-111.25999999999999
2022-07-01,1680.78,-155.78999999999996
2022-10-01,1797.55,116.76999999999998
2023-01-01,1912.73,115.18000000000006
2023-04-01,1942.9,30.170000000000073
2023-07-01,1915.95,-26.950000000000045
2023-10-01,2026.18,110.23000000000002
2024-01-01,2158.01,131.83000000000015
2024-04-01,2326.44,168.42999999999984
2024-07-01,2570.55,244.11000000000013
2024-10-01,2648.01,77.46000000000004
2025-01-01,2983.25,335.2399999999998
2025-04-01,3352.66,369.40999999999985
2025-07-01,3667.68,315.02
2025-10-01,4309.23,641.5499999999997
2026-01-01,5019.97,710.7400000000007
